post_date,industry,count_id_indexed
2020-03-01,,1.0000
2020-03-01,Communication,1.0000
2020-03-01,Construction,1.0000
2020-03-01,Energy,1.0000
2020-03-01,Entertainment,1.0000
2020-03-01,Financial Services,1.0000
2020-03-01,Healthcare,1.0000
2020-03-01,Hospitality,1.0000
2020-03-01,Insurance,1.0000
2020-03-01,Manufacturing,1.0000
2020-03-01,Mining,1.0000
2020-03-01,Real Estate,1.0000
2020-03-01,Retail,1.0000
2020-03-01,Services,1.0000
2020-03-01,Transportation,1.0000
2020-03-01,Wholesale,1.0000
2020-03-02,,1.0052
2020-03-02,Communication,1.0521
2020-03-02,Construction,1.0075
2020-03-02,Energy,1.0231
2020-03-02,Entertainment,0.8964
2020-03-02,Financial Services,0.9924
2020-03-02,Healthcare,0.9667
2020-03-02,Hospitality,1.0851
2020-03-02,Insurance,1.0102
2020-03-02,Manufacturing,0.9927
2020-03-02,Mining,0.9684
2020-03-02,Real Estate,1.0086
2020-03-02,Retail,1.0306
2020-03-02,Services,1.0202
2020-03-02,Transportation,1.0617
2020-03-02,Wholesale,1.0617
2020-03-03,,1.0252
2020-03-03,Communication,1.0417
2020-03-03,Construction,1.0394
2020-03-03,Energy,1.0930
2020-03-03,Entertainment,0.9726
2020-03-03,Financial Services,0.9759
2020-03-03,Healthcare,0.9631
2020-03-03,Hospitality,1.0707
2020-03-03,Insurance,0.9957
2020-03-03,Manufacturing,0.9857
2020-03-03,Mining,0.9788
2020-03-03,Real Estate,0.9875
2020-03-03,Retail,1.0545
2020-03-03,Services,1.0229
2020-03-03,Transportation,1.0946
2020-03-03,Wholesale,1.0768
2020-03-04,,1.0510
2020-03-04,Communication,1.0626
2020-03-04,Construction,1.0828
2020-03-04,Energy,1.1004
2020-03-04,Entertainment,1.0192
2020-03-04,Financial Services,0.9804
2020-03-04,Healthcare,0.9893
2020-03-04,Hospitality,1.0705
2020-03-04,Insurance,1.0332
2020-03-04,Manufacturing,0.9996
2020-03-04,Mining,0.9905
2020-03-04,Real Estate,1.0038
2020-03-04,Retail,1.0748
2020-03-04,Services,1.0504
2020-03-04,Transportation,1.1038
2020-03-04,Wholesale,1.1033
2020-03-05,,1.0575
2020-03-05,Communication,1.1222
2020-03-05,Construction,1.0891
2020-03-05,Energy,1.0950
2020-03-05,Entertainment,1.0390
2020-03-05,Financial Services,0.9844
2020-03-05,Healthcare,1.0138
2020-03-05,Hospitality,1.0582
2020-03-05,Insurance,1.0619
2020-03-05,Manufacturing,1.0093
2020-03-05,Mining,0.9692
2020-03-05,Real Estate,0.9896
2020-03-05,Retail,1.0974
2020-03-05,Services,1.0682
2020-03-05,Transportation,1.1385
2020-03-05,Wholesale,1.1027
